"words","frequency","first","second","third"
"best gift follow",2,"best","gift","follow"
"best i ever",2,"best","i","ever"
"best kitchens wheels",2,"best","kitchens","wheels"
"best pg league",2,"best","pg","league"
"best sense word",2,"best","sense","word"
"best thing ever",5,"best","thing","ever"
"best way start",2,"best","way","start"
"better i can",2,"better","i","can"
"better i know",2,"better","i","know"
"better way start",2,"better","way","start"
"bieber justin bieber",2,"bieber","justin","bieber"
"big bang theory",2,"big","bang","theory"
"big jet plane",2,"big","jet","plane"
"big part life",2,"big","part","life"
"big surprise i",2,"big","surprise","i"
"big time rush",2,"big","time","rush"
"bill control immigration",2,"bill","control","immigration"
"birthday u happy",2,"birthday","u","happy"
"black eyed peas",4,"black","eyed","peas"
"black history month",3,"black","history","month"
"blah blah blah",2,"blah","blah","blah"
"blog i find",2,"blog","i","find"
"blog posts published",2,"blog","posts","published"
"blood sweat tears",3,"blood","sweat","tears"
"bold new way",2,"bold","new","way"
"book called the",2,"book","called","the"
"book sellers site",2,"book","sellers","site"
"books i loved",2,"books","i","loved"
"boots boots boots",4,"boots","boots","boots"
"bored bored bored",2,"bored","bored","bored"
"boston add boston",5,"boston","add","boston"
"boston inspirational women",2,"boston","inspirational","women"
"bought years ago",2,"bought","years","ago"
"bowl electric mixer",2,"bowl","electric","mixer"
"boy i wrong",2,"boy","i","wrong"
"boys girls ages",2,"boys","girls","ages"
"brave patient joys",2,"brave","patient","joys"
"bred pit bull",2,"bred","pit","bull"
"bring mother back",2,"bring","mother","back"
"bring people together",2,"bring","people","together"
"bringing home pizza",2,"bringing","home","pizza"
"bro but i",2,"bro","but","i"
"broke last year",2,"broke","last","year"
"brothers sold slavery",2,"brothers","sold","slavery"
"bull cross bred",2,"bull","cross","bred"
"but end day",2,"but","end","day"
"but end i",3,"but","end","i"
"but i also",2,"but","i","also"
"but i asking",2,"but","i","asking"
"but i can",3,"but","i","can"
"but i digress",4,"but","i","digress"
"but i don’t",5,"but","i","don’t"
"but i feel",3,"but","i","feel"
"but i found",2,"but","i","found"
"but i gotta",2,"but","i","gotta"
"but i know",3,"but","i","know"
"but i promise",2,"but","i","promise"
"but i talk",2,"but","i","talk"
"but i think",9,"but","i","think"
"but i want",4,"but","i","want"
"but im sure",3,"but","im","sure"
"but now i",9,"but","now","i"
"but really i",2,"but","really","i"
"but sometimes i",2,"but","sometimes","i"
"but still i",3,"but","still","i"
"butter ice cream",2,"butter","ice","cream"
"buy lottery ticket",2,"buy","lottery","ticket"
"buy much less",2,"buy","much","less"
"buy time fell",3,"buy","time","fell"
"by time i",2,"by","time","i"
"call make appointment",2,"call","make","appointment"
"call me maybe",4,"call","me","maybe"
"call right now",2,"call","right","now"
"call to arms",3,"call","to","arms"
"call us today",2,"call","us","today"
"came back first",2,"came","back","first"
"came last night",5,"came","last","night"
"campaign buzz march",6,"campaign","buzz","march"
"can already tell",2,"can","already","tell"
"can also tell",2,"can","also","tell"
"can change all",2,"can","change","all"
"can dm email",3,"can","dm","email"
"can easily find",2,"can","easily","find"
"can easily see",2,"can","easily","see"
"can follow please",2,"can","follow","please"
"can get away",2,"can","get","away"
"can get lost",2,"can","get","lost"
"can get together",2,"can","get","together"
"can go wrong",2,"can","go","wrong"
"can hear wind",2,"can","hear","wind"
"can help others",2,"can","help","others"
"can i expect",4,"can","i","expect"
"can i get",9,"can","i","get"
"can i help",4,"can","i","help"
"can i just",3,"can","i","just"
"can i live",2,"can","i","live"
"can i mix",2,"can","i","mix"
"can i say",7,"can","i","say"
"can i see",2,"can","i","see"
"can i send",3,"can","i","send"
"can keep away",2,"can","keep","away"
"can make feel",2,"can","make","feel"
"can make one",2,"can","make","one"
"can make performer",2,"can","make","performer"
"can never get",2,"can","never","get"
"can please follow",3,"can","please","follow"
"can say i",3,"can","say","i"
"can see clearly",2,"can","see","clearly"
"can see end",2,"can","see","end"
"can see i",2,"can","see","i"
"can see one",2,"can","see","one"
"can sometimes feel",2,"can","sometimes","feel"
"can spend time",2,"can","spend","time"
"can still get",2,"can","still","get"
"can still make",2,"can","still","make"
"can talk u",2,"can","talk","u"
"can tell i",2,"can","tell","i"
"can tell us",2,"can","tell","us"
"can think nothing",2,"can","think","nothing"
"can u please",2,"can","u","please"
"can work one",2,"can","work","one"
"can’t buy time",3,"can’t","buy","time"
"can’t say i",2,"can’t","say","i"
"cant get enough",2,"cant","get","enough"
"cant see anything",2,"cant","see","anything"
"cant stop thinking",2,"cant","stop","thinking"
"cant wait for",2,"cant","wait","for"
"cant wait get",4,"cant","wait","get"
"cant wait go",2,"cant","wait","go"
"cant wait hear",3,"cant","wait","hear"
"cant wait see",14,"cant","wait","see"
"cant wait til",2,"cant","wait","til"
"cant wait till",5,"cant","wait","till"
"cant wait try",2,"cant","wait","try"
"cant wait watch",2,"cant","wait","watch"
"card i made",2,"card","i","made"
"card weeks crafty",2,"card","weeks","crafty"
"carolyn joe show",2,"carolyn","joe","show"
"cause i remember",2,"cause","i","remember"
"cause i thought",2,"cause","i","thought"
"causes alzheimer’s disease",2,"causes","alzheimer’s","disease"
"cd coming soon",2,"cd","coming","soon"
"certain arrangements correspond",3,"certain","arrangements","correspond"
"change wish see",2,"change","wish","see"
"changes i made",2,"changes","i","made"
"charlie brown christmas",2,"charlie","brown","christmas"
"check basically wander",2,"check","basically","wander"
"check let know",2,"check","let","know"
"cheltenham gold cup",2,"cheltenham","gold","cup"
"cherry orchard the",2,"cherry","orchard","the"
"chicago next week",2,"chicago","next","week"
"chicken cordon bleu",3,"chicken","cordon","bleu"
"chicken noodle soup",3,"chicken","noodle","soup"
"child sexual abuse",2,"child","sexual","abuse"
"child whose parent",2,"child","whose","parent"
"children learn abc’s",2,"children","learn","abc’s"
"childrens cancer society",2,"childrens","cancer","society"
"chinese new year",2,"chinese","new","year"
"chip ice cream",2,"chip","ice","cream"
"chocolate peanut butter",3,"chocolate","peanut","butter"
"choice take chance",2,"choice","take","chance"
"chris brown twitter",2,"chris","brown","twitter"
"christ son god",2,"christ","son","god"
"christians don’t love",2,"christians","don’t","love"
"christmas lights the",2,"christmas","lights","the"
"cinco de mayo",12,"cinco","de","mayo"
"cinnamon raisin bread",2,"cinnamon","raisin","bread"
"civil war ended",2,"civil","war","ended"
"click link vote",2,"click","link","vote"
"cold case files",2,"cold","case","files"
"cold warm cold",2,"cold","warm","cold"
"come back soon",3,"come","back","soon"
"come check us",3,"come","check","us"
"come i go",3,"come","i","go"
"come join us",7,"come","join","us"
"come let touch",2,"come","let","touch"
"come long way",2,"come","long","way"
"come see us",3,"come","see","us"
"come soon enough",2,"come","soon","enough"
"come ur life",2,"come","ur","life"
"come wait things",2,"come","wait","things"
"comfort zone i",2,"comfort","zone","i"
"commitment jesus christ",2,"commitment","jesus","christ"
"company issued statement",2,"company","issued","statement"
"compared mirror carp",2,"compared","mirror","carp"
"congrats new gig",3,"congrats","new","gig"
"convince mum buy",2,"convince","mum","buy"
"cookies cream ice",2,"cookies","cream","ice"
"cool hot day",2,"cool","hot","day"
"country must country",2,"country","must","country"
"county executive kathleen",2,"county","executive","kathleen"
"county prosecutor’s office",2,"county","prosecutor’s","office"
"couple days ago",2,"couple","days","ago"
"couple weeks ago",7,"couple","weeks","ago"
"couple years ago",6,"couple","years","ago"
"couples able get",2,"couples","able","get"
"course i can",2,"course","i","can"
"course i get",2,"course","i","get"
"court criminal appeals",3,"court","criminal","appeals"
"cradle will rock",2,"cradle","will","rock"
"cream ice cream",2,"cream","ice","cream"
"cross bred pit",2,"cross","bred","pit"
"culture arts literature",2,"culture","arts","literature"
"curious anyone else",2,"curious","anyone","else"
"cute little girl",2,"cute","little","girl"
"d cir rules",2,"d","cir","rules"
"daily gtky question",2,"daily","gtky","question"
"dane county executive",2,"dane","county","executive"
"dare i say",4,"dare","i","say"
"dark night soul",2,"dark","night","soul"
"date if mutual",2,"date","if","mutual"
"day i can",2,"day","i","can"
"day i feel",2,"day","i","feel"
"day i go",2,"day","i","go"
"day i know",2,"day","i","know"
"day i love",2,"day","i","love"
"day i will",3,"day","i","will"
"day light savings",2,"day","light","savings"
"day make sure",2,"day","make","sure"
"day school today",2,"day","school","today"
"day two people",2,"day","two","people"
"day will say",2,"day","will","say"
"day work today",2,"day","work","today"
"days like today",2,"days","like","today"
"days school left",3,"days","school","left"
"days till birthday",2,"days","till","birthday"
"days till spring",2,"days","till","spring"
"de la fuente",2,"de","la","fuente"
"dear i love",2,"dear","i","love"
"decided im going",2,"decided","im","going"
"decorated cipher queen",2,"decorated","cipher","queen"
"definitely looking forward",2,"definitely","looking","forward"
"department children families",2,"department","children","families"
"did i just",3,"did","i","just"
"did i mention",5,"did","i","mention"
"didn’t even know",2,"didn’t","even","know"
"didnt see u",3,"didnt","see","u"
"die young i",2,"die","young","i"
"dining room table",3,"dining","room","table"
"dinner last night",2,"dinner","last","night"
"direct debit people",2,"direct","debit","people"
"disclaimer i received",2,"disclaimer","i","received"
"dm email address",3,"dm","email","address"
"dm ur number",2,"dm","ur","number"
"do i really",2,"do","i","really"
"do speak languages",2,"do","speak","languages"
"do u know",3,"do","u","know"
"do u think",2,"do","u","think"
"doctor found guilty",2,"doctor","found","guilty"
"does anyone else",2,"does","anyone","else"
"does anyone know",4,"does","anyone","know"
"does anyone think",2,"does","anyone","think"
"doesn’t seem like",2,"doesn’t","seem","like"
"don t know",2,"don","t","know"
"don’t deserve love",2,"don’t","deserve","love"
"don’t even know",2,"don’t","even","know"
"don’t know i",7,"don’t","know","i"
"don’t know i’m",6,"don’t","know","i’m"
"don’t know people",3,"don’t","know","people"
"don’t push it",4,"don’t","push","it"
"don’t really need",2,"don’t","really","need"
"don’t take yet",2,"don’t","take","yet"
"don’t think i",4,"don’t","think","i"
"don’t want get",2,"don’t","want","get"
"don’t want give",2,"don’t","want","give"
"don’t want see",2,"don’t","want","see"
"don’t want seem",2,"don’t","want","seem"
"don’t worry though",2,"don’t","worry","though"
"done around house",2,"done","around","house"
"dont forget follow",3,"dont","forget","follow"
"dont get wrong",3,"dont","get","wrong"
"dont think understand",2,"dont","think","understand"
"dont wanna go",2,"dont","wanna","go"
"doo doo doo",3,"doo","doo","doo"
"double coupon days",2,"double","coupon","days"
"dream come true",4,"dream","come","true"
"dream last night",4,"dream","last","night"
"dreams come true",4,"dreams","come","true"
"drop dead diva",2,"drop","dead","diva"
"drove us back",2,"drove","us","back"
"drove way work",2,"drove","way","work"
"due inclement weather",2,"due","inclement","weather"
"e e e",3,"e","e","e"
"earlier today i",2,"earlier","today","i"
"early sunday morning",2,"early","sunday","morning"
"easter egg hunt",2,"easter","egg","hunt"
"eat fat lose",2,"eat","fat","lose"
"ed sheeran ed",2,"ed","sheeran","ed"
"el camino real",2,"el","camino","real"
"else will take",2,"else","will","take"
"email address ill",2,"email","address","ill"
"email us can",2,"email","us","can"
"end day i",2,"end","day","i"
"end first half",2,"end","first","half"
"end i just",2,"end","i","just"
"end of the",2,"end","of","the"
"ending date if",2,"ending","date","if"
"endura tunnel tek",2,"endura","tunnel","tek"
"eng ger land",2,"eng","ger","land"
"enjoy playing pinball",2,"enjoy","playing","pinball"
"epa dha grams",2,"epa","dha","grams"
"ethnic slur kind",2,"ethnic","slur","kind"
"even difficult forget",2,"even","difficult","forget"
"even know came",2,"even","know","came"
"even know i",3,"even","know","i"
"even though i",13,"even","though","i"
"even though im",2,"even","though","im"
"event last night",2,"event","last","night"
"ever feel like",2,"ever","feel","like"
"ever get chance",2,"ever","get","chance"
"ever get sleep",2,"ever","get","sleep"
"ever just want",2,"ever","just","want"
"every day i",2,"every","day","i"
"every four years",2,"every","four","years"
"every little thing",2,"every","little","thing"
"every minute every",2,"every","minute","every"
"every part body",2,"every","part","body"
"every single day",4,"every","single","day"
"every single one",4,"every","single","one"
"every single word",2,"every","single","word"
"every time i",21,"every","time","i"
"everyone came last",2,"everyone","came","last"
"everyone else i",2,"everyone","else","i"
"everyone please go",2,"everyone","please","go"
"everyone wants know",2,"everyone","wants","know"
"everyone will type",2,"everyone","will","type"
"everyone wonderful easter",2,"everyone","wonderful","easter"
"everything i need",2,"everything","i","need"
"everything went well",3,"everything","went","well"
"everywhere i look",2,"everywhere","i","look"
"exactly one year",3,"exactly","one","year"
"example even though",2,"example","even","though"
"executive kathleen falk",2,"executive","kathleen","falk"
"expect kiss first",2,"expect","kiss","first"
"experienced dark night",2,"experienced","dark","night"
"extremely loud incredibly",2,"extremely","loud","incredibly"
"eyes failed hoping",2,"eyes","failed","hoping"
"fabulous baking brothers",2,"fabulous","baking","brothers"
"failed hoping his",2,"failed","hoping","his"
"fall back asleep",2,"fall","back","asleep"
"fall love someone",2,"fall","love","someone"
"family will never",2,"family","will","never"
"fan i found",2,"fan","i","found"
"fanatical minority always",2,"fanatical","minority","always"
"fans can get",2,"fans","can","get"
"far i concerned",2,"far","i","concerned"
"far i know",2,"far","i","know"
"far im concerned",2,"far","im","concerned"
"fat lose fat",2,"fat","lose","fat"
"favorite things ever",2,"favorite","things","ever"
"federal prison camp",2,"federal","prison","camp"
"feel characters feel",2,"feel","characters","feel"
"feel free join",2,"feel","free","join"
"feel free leave",2,"feel","free","leave"
"feel good i",2,"feel","good","i"
"feel left out",2,"feel","left","out"
"feel like i",12,"feel","like","i"
"feel like im",10,"feel","like","im"
"feel like re",2,"feel","like","re"
"feeling pretty good",4,"feeling","pretty","good"
"feeling tonights gonna",2,"feeling","tonights","gonna"
"feels like forever",2,"feels","like","forever"
"feels like spring",3,"feels","like","spring"
"fellow dt members",2,"fellow","dt","members"
"felt like i",6,"felt","like","i"
"felt like time",2,"felt","like","time"
"fifa world cup",2,"fifa","world","cup"
"fifth grade teacher",2,"fifth","grade","teacher"
"final resting place",2,"final","resting","place"
"finally got iphone",3,"finally","got","iphone"
"finally reached followers",2,"finally","reached","followers"
"finished mi run",2,"finished","mi","run"
"fire right now",2,"fire","right","now"
"first day spring",3,"first","day","spring"
"first day work",2,"first","day","work"
"first grade teacher",2,"first","grade","teacher"
"first i like",3,"first","i","like"
"first i must",2,"first","i","must"
"first major league",2,"first","major","league"
"first thing i",3,"first","thing","i"
"first time ever",2,"first","time","ever"
"first time happened",2,"first","time","happened"
"first time i",9,"first","time","i"
"first time ive",6,"first","time","ive"
"first time long",3,"first","time","long"
"first time since",2,"first","time","since"
"first two days",2,"first","two","days"
"five year old",2,"five","year","old"
"flash west coast",2,"flash","west","coast"
"flour sugar baking",2,"flour","sugar","baking"
"follow back i",2,"follow","back","i"
"follow back please",6,"follow","back","please"
"follow can dm",2,"follow","can","dm"
"follow follow back",3,"follow","follow","back"
"follow happy i",2,"follow","happy","i"
"follow me it",2,"follow","me","it"
"follow me please",2,"follow","me","please"
"follow please please",2,"follow","please","please"
"follow right now",2,"follow","right","now"
"follow us twitter",2,"follow","us","twitter"
"follow will make",2,"follow","will","make"
"followers i got",2,"followers","i","got"
"following chris brown",2,"following","chris","brown"
"for first time",3,"for","first","time"
"for his kingdom",2,"for","his","kingdom"
"for i want",2,"for","i","want"
"for moment i",2,"for","moment","i"
"for now i",2,"for","now","i"
"for one thing",2,"for","one","thing"
"for past two",2,"for","past","two"
"for past years",2,"for","past","years"
"for reason i",3,"for","reason","i"
"for record i",2,"for","record","i"
"for starters i",2,"for","starters","i"
"for time i",2,"for","time","i"
"for you to",2,"for","you","to"
"forget follow google",3,"forget","follow","google"
"forget get number",2,"forget","get","number"
"forward reading tweets",2,"forward","reading","tweets"
"forward seeing everyone",2,"forward","seeing","everyone"
"forward seeing next",2,"forward","seeing","next"
"found guilty involuntary",2,"found","guilty","involuntary"
"found someone elses",2,"found","someone","elses"
"found someone new",2,"found","someone","new"
"fourth grade teacher",4,"fourth","grade","teacher"
"fourth july weekend",2,"fourth","july","weekend"
"fox football guys",2,"fox","football","guys"
"freeresortbeachinfo new post",2,"freeresortbeachinfo","new","post"
"french onion soup",2,"french","onion","soup"
"fresh baby spinach",2,"fresh","baby","spinach"
"fresh coat paint",2,"fresh","coat","paint"
"friday i will",3,"friday","i","will"
"friday march pm",2,"friday","march","pm"
"friends bday best",2,"friends","bday","best"
"friends great people",2,"friends","great","people"
"ft million invested",5,"ft","million","invested"
"full bottle yearold",2,"full","bottle","yearold"
"full text campaign",5,"full","text","campaign"
"fun i think",2,"fun","i","think"
"fun last night",3,"fun","last","night"
"fun right now",2,"fun","right","now"
"g a y",2,"g","a","y"
"gallery new york",2,"gallery","new","york"
"game set match",2,"game","set","match"
"genetic causes alzheimer’s",2,"genetic","causes","alzheimer’s"
"get back sleep",2,"get","back","sleep"
"get back soon",3,"get","back","soon"
"get done i",2,"get","done","i"
"get facts straight",2,"get","facts","straight"
"get free muffin",2,"get","free","muffin"
"get give away",2,"get","give","away"
"get hair cut",2,"get","hair","cut"
"get home work",2,"get","home","work"
"get job done",2,"get","job","done"
"get jump start",2,"get","jump","start"
"get know love",2,"get","know","love"
"get number expect",2,"get","number","expect"
"get one free",2,"get","one","free"
"get outta house",2,"get","outta","house"
"get ready school",2,"get","ready","school"
"get real rewards",3,"get","real","rewards"
"get something like",2,"get","something","like"
"get things going",2,"get","things","going"
"get work done",3,"get","work","done"
"get wrong i",2,"get","wrong","i"
"gets govt help",2,"gets","govt","help"
"getting better time",2,"getting","better","time"
"getting hair done",2,"getting","hair","done"
"getting ready leave",2,"getting","ready","leave"
"getting ready work",2,"getting","ready","work"
"getting things done",2,"getting","things","done"
"gift follow will",2,"gift","follow","will"
"girl i feel",2,"girl","i","feel"
"girl reply follow",2,"girl","reply","follow"
"girls ages july",3,"girls","ages","july"
"give anything i",2,"give","anything","i"
"give us call",4,"give","us","call"
"give us shout",2,"give","us","shout"
"given point time",2,"given","point","time"
"gives us things",2,"gives","us","things"
"giving away great",2,"giving","away","great"
"giving love rose",2,"giving","love","rose"
"giving second chance",2,"giving","second","chance"
"glad help get",2,"glad","help","get"
"glad i found",2,"glad","i","found"
"glad i got",2,"glad","i","got"
"glad i read",3,"glad","i","read"
"glad im driving",2,"glad","im","driving"
"glad know im",2,"glad","know","im"
"go back entrance",2,"go","back","entrance"
"go back sleep",3,"go","back","sleep"
"go back work",7,"go","back","work"
"go get new",2,"go","get","new"
"go go go",2,"go","go","go"
"go i can",2,"go","i","can"
"go one night",2,"go","one","night"
"go school tomorrow",4,"go","school","tomorrow"
"go work today",2,"go","work","today"
"goal i set",2,"goal","i","set"
"god gives us",2,"god","gives","us"
"god i love",2,"god","i","love"
"god i need",2,"god","i","need"
"god i really",2,"god","i","really"
"goes im going",2,"goes","im","going"
"goes well ill",2,"goes","well","ill"
"goes without saying",6,"goes","without","saying"
"going back time",2,"going","back","time"
"going eat today",4,"going","eat","today"
"going feel good",2,"going","feel","good"
"going get one",2,"going","get","one"
"going happen next",2,"going","happen","next"
"going start saying",2,"going","start","saying"
"going try get",2,"going","try","get"
"gonna good night",2,"gonna","good","night"
"gonna take ride",2,"gonna","take","ride"
"good beer week",2,"good","beer","week"
"good day everyone",2,"good","day","everyone"
"good enough i",2,"good","enough","i"
"good first place",2,"good","first","place"
"good friday morning",2,"good","friday","morning"
"good idea lol",2,"good","idea","lol"
"good just got",2,"good","just","got"
"good laugh i",2,"good","laugh","i"
"good let know",2,"good","let","know"
"good luck everyone",2,"good","luck","everyone"
"good luck fun",2,"good","luck","fun"
"good luck getting",2,"good","luck","getting"
"good luck interview",2,"good","luck","interview"
"good luck today",4,"good","luck","today"
"good luck tonight",2,"good","luck","tonight"
"good mood day",2,"good","mood","day"
"good morning chicago",2,"good","morning","chicago"
"good morning everyone",4,"good","morning","everyone"
"good morning good",2,"good","morning","good"
"good morning twitter",3,"good","morning","twitter"
"good morning world",2,"good","morning","world"
"good morning y",2,"good","morning","y"
"good news i",3,"good","news","i"
"good night twitter",2,"good","night","twitter"
"good ole us",2,"good","ole","us"
"good public space",2,"good","public","space"
"good really need",2,"good","really","need"
"good reason believe",2,"good","reason","believe"
"good right now",2,"good","right","now"
"good seeing today",2,"good","seeing","today"
"good thing i",4,"good","thing","i"
"good things will",2,"good","things","will"
"gop republican presidential",3,"gop","republican","presidential"
"gospel contrary one",2,"gospel","contrary","one"
"got back work",2,"got","back","work"
"got home work",2,"got","home","work"
"got i let",2,"got","i","let"
"got last word",2,"got","last","word"
"got new phone",3,"got","new","phone"
"got phone call",3,"got","phone","call"
"got something nice",2,"got","something","nice"
"got vote today",2,"got","vote","today"
"government intervene behalf",2,"government","intervene","behalf"
"grace period exception",2,"grace","period","exception"
"grade son’s misery",2,"grade","son’s","misery"
"grammy award winner",2,"grammy","award","winner"
"great day everyone",2,"great","day","everyone"
"great day today",2,"great","day","today"
"great drink specials",2,"great","drink","specials"
"great great great",2,"great","great","great"
"great holiday season",2,"great","holiday","season"
"great job guys",2,"great","job","guys"
"great new years",2,"great","new","years"
"great place find",2,"great","place","find"
"great seeing last",2,"great","seeing","last"
"great time last",2,"great","time","last"
"great way start",2,"great","way","start"
"great weekend everyone",3,"great","weekend","everyone"
"greatest pleasure life",2,"greatest","pleasure","life"
"green cap kitty",5,"green","cap","kitty"
"green flash west",2,"green","flash","west"
"guess i need",2,"guess","i","need"
"guess ill read",2,"guess","ill","read"
"guilty involuntary manslaughter",2,"guilty","involuntary","manslaughter"
"had awesome time",3,"had","awesome","time"
"had good day",2,"had","good","day"
"had great time",5,"had","great","time"
"had great weekend",2,"had","great","weekend"
"haha i guess",2,"haha","i","guess"
"haha i miss",2,"haha","i","miss"
"haha i think",2,"haha","i","think"
"haha just kidding",2,"haha","just","kidding"
"half century ago",2,"half","century","ago"
"hall of famer",2,"hall","of","famer"
"hands his feet",2,"hands","his","feet"
"hang around street",2,"hang","around","street"
"hang wrapping paper",2,"hang","wrapping","paper"
"happen reason i",2,"happen","reason","i"
"happened last night",2,"happened","last","night"
"happiest girl reply",2,"happiest","girl","reply"
"happy australia day",2,"happy","australia","day"
"happy birthday d",2,"happy","birthday","d"
"happy birthday dude",2,"happy","birthday","dude"
"happy birthday man",4,"happy","birthday","man"
"happy birthday u",2,"happy","birthday","u"
"happy cinco de",3,"happy","cinco","de"
"happy first day",3,"happy","first","day"
"happy hour pm",3,"happy","hour","pm"
"happy i can",2,"happy","i","can"
"happy i just",2,"happy","i","just"
"happy moms day",2,"happy","moms","day"
"happy monday everyone",2,"happy","monday","everyone"
"happy mothers day",27,"happy","mothers","day"
"happy new year",15,"happy","new","year"
"happy new years",2,"happy","new","years"
"happy th birthday",3,"happy","th","birthday"
"happy valentines day",14,"happy","valentines","day"
"hard drive going",2,"hard","drive","going"
"harder i thought",3,"harder","i","thought"
"has a life",2,"has","a","life"
"has anyone else",2,"has","anyone","else"
